Tanggal;USD;Ekspor_Total;Ekspor_MIGAS;Ekspor_NON MIGAS;Ekspor_Agriculture;Ekspor_Industry;Ekspor_Mining;Ekspor_Others;Impor_Total;Impor_Consumption Goods;Impor_Raw Material Support;Impor_Capital Goods
43922;15157;24319,65;562,08;11597,75;283,85;9864,6;2010,93;0,44;12535,23;1214,98;9357,06;1963,19
43891;16367;28062,58;617,36;13413,94;315,04;11214,15;2501,56;0,53;13352,18;1269,26;10282,02;1800,9
43862;14234;28084,18;805,15;13236,94;299,11;11273,12;2469,54;0,32;11548,1;881,84;8836,93;1829,33
43831;13662;27272,83;815,32;12821,09;295,69;10907,25;2432,98;0,5;14268,72;1467,16;10569,76;2231,8
43800;13901;28857,63;1133,28;13295,53;369,84;11018,62;3039,78;0,58;14506,78;1651,85;10402,95;2451,98
43770;14102;27888,97;1033,73;12910,76;335,04;10748,95;2859,85;0,64;15340,48;1667,81;11167,8;2504,87
43739;14008;29762,91;859,95;14021,5;339,45;11521,65;3019,71;0,65;14759,08;1436,11;10881,07;2441,9
43709;14174;28160,22;803,03;13277,08;356,24;11083,69;2637,69;2,49;14263,45;1407,53;10261,5;2594,42
43678;14237;28523,93;842,84;13419,12;337,86;11394,49;2529,08;0,54;14169,36;1363,84;10329,97;2475,55
43647;14026;30476,84;1400,5;13837,92;314,03;11750,41;3173,38;0,6;15518,48;1465,6;11272,83;2780,05
43617;14141;23526,71;714,13;11049,22;208,55;9175,21;2379,06;0,54;11495,39;1029,77;8736,16;1729,46
43586;14385;29503,79;1054,24;13697,65;316,27;11296,11;3138,97;0,55;14606,66;1553,19;10730,75;2322,72
43556;14215;26136,15;688,11;12379,96;250,79;10050,8;2765,86;0,63;15399,19;1460,22;11570,7;2368,27
43525;14244;28895,58;1077,41;13370,38;269,4;10862,37;3311,28;4,74;13746,63;1169,46;10350,06;2227,11
43497;14062;25577,11;1050,78;11737,78;233,22;9798,45;2753,31;3,57;12465,07;1027,76;9224,29;2213,02
43466;14072;28056,18;1131,26;12896,83;281,69;10478,53;3267,4;0,47;15005,19;1220,9;11427,48;2356,81
43435;14481;28580,18;1706,82;12583,27;296,65;10270,03;3722,76;0,65;15364,99;1467,09;11220,28;2677,62
43405;14339;29703,44;1312,92;13538,8;320,14;10878,75;3652,25;0,58;16901,82;1434,27;12870,49;2597,06
43374;15227;31818,14;1545,32;14363,75;316,27;11800,28;3791,64;0,88;17667,62;1502,66;13410,41;2754,55
43344;14929;29912,68;1320,25;13636,09;316,88;11081,14;3557,46;0,86;14610,06;1325,82;10902,02;2382,22
43313;14711;31730,25;1423,75;14441,37;301,79;11913,51;3649,37;0,46;16818,14;1555,54;12633,28;2629,32
43282;14413;32569,44;1416,51;14868,21;300,32;11941,91;4041,91;0,58;18297,14;1711,97;13704,08;2881,09
43252;14404;25883,48;1646,7;11295,04;199,8;8679,94;4061,54;0,46;11267,89;1008;8585,92;1673,97
43221;13951;32396,69;1633,1;14565,24;307,98;11961,1;3912,73;16,54;17662,89;1730,04;13188,17;2744,68
43191;13877;28992,47;1178,78;13317,46;298,54;10827,96;3350,28;19,45;16162,29;1503,08;12088,9;2570,31
43160;13756;31021,23;1256,15;14254,46;281,03;11308,89;3903,84;16,86;14463,6;1201,15;10876,82;2385,63
43132;13707;28264,76;1388,75;12743,63;233,5;10348,89;3546,63;3,36;14185,5;1378,85;10600,29;2206,36
43101;13413;29152,57;1342,67;13233,61;258,11;10748,26;3567,9;2,02;15309,44;1362,94;11500,5;2446
43070;13548;29729,1;1496,46;13368,09;275,74;10537,2;4048,03;3,58;15104,47;1375,42;11090,61;2638,44
43040;13514;30669,46;1295,76;14038,97;316,65;11589,36;3423,1;5,62;15113,53;1341,08;11188;2584,45
43009;13572;30505,13;1488,18;13764,39;349,46;11113,95;3774,95;14,2;14249,18;1251,19;10856,83;2141,16
42979;13492;29160,44;1455,01;13125,21;315,89;10812,92;3440,43;10,98;12788,29;1117,78;9660,13;2010,38
42948;13351;30375,99;1233,62;13954,38;381,19;11663,55;3140,31;2,94;13509,2;1193,99;10164,27;2150,94
42917;13323;27222,12;1164,97;12446,09;320,16;10377,12;2911,12;2,66;13889,81;1069,08;10514,38;2306,35
42887;13319;23322,75;1276,3;10385,08;267,44;8614,52;2776,29;3,12;9991,57;1111,77;7461,03;1418,77
42856;13321;28667,72;1294,39;13039,47;314,93;10925,15;3089,95;3,83;13772,56;1288,57;10566,97;1917,02
42826;13327;26539,39;1036,24;12233,45;277,96;10029,42;2956,13;6,19;11950,62;1095,34;9041,43;1813,85
42795;13321;29436,96;1516,24;13202,24;290,88;11172,84;3248,21;6,55;13283,18;1329,12;9984,87;1969,19
42767;13347;25231,96;1208,63;11407,35;280,37;9874,37;2449,53;11,71;11359,42;888,34;8811,45;1659,63
42736;13343;26795,34;1278,57;12119,1;280,32;10035,84;3071,53;9,98;11973,77;1013,35;9084,78;1875,64
