Tanggal,USD,Ekspor_Total,Ekspor_MIGAS,Ekspor_NON MIGAS,Ekspor_Agriculture,Ekspor_Industry,Ekspor_Mining,Ekspor_Others,Impor_Total,Impor_Consumption Goods,Impor_Raw Material Support,Impor_Capital Goods
01/01/2018,13,413.00,29,152.57,1,342.67,13,233.61,258.11,10,748.26,3,567.90,2.02,15,309.44,1,362.94,11,500.50,2,446.00
01/12/2017,13,548.00,29,729.10,1,496.46,13,368.09,275.74,10,537.20,4,048.03,3.58,15,104.47,1,375.42,11,090.61,2,638.44
01/11/2017,13,514.00,30,669.46,1,295.76,14,038.97,316.65,11,589.36,3,423.10,5.62,15,113.53,1,341.08,11,188.00,2,584.45
01/10/2017,13,572.00,30,505.13,1,488.18,13,764.39,349.46,11,113.95,3,774.95,14.20,14,249.18,1,251.19,10,856.83,2,141.16
01/09/2017,13,492.00,29,160.44,1,455.01,13,125.21,315.89,10,812.92,3,440.43,10.98,12,788.29,1,117.78,9,660.13,2,010.38
01/08/2017,13,351.00,30,375.99,1,233.62,13,954.38,381.19,11,663.55,3,140.31,2.94,13,509.20,1,193.99,10,164.27,2,150.94
01/07/2017,13,323.00,27,222.12,1,164.97,12,446.09,320.16,10,377.12,2,911.12,2.66,13,889.81,1,069.08,10,514.38,2,306.35
01/06/2017,13,319.00,23,322.75,1,276.30,10,385.08,267.44,8,614.52,2,776.29,3.12,9,991.57,1,111.77,7,461.03,1,418.77
01/05/2017,13,321.00,28,667.72,1,294.39,13,039.47,314.93,10,925.15,3,089.95,3.83,13,772.56,1,288.57,10,566.97,1,917.02
01/04/2017,13,327.00,26,539.39,1,036.24,12,233.45,277.96,10,029.42,2,956.13,6.19,11,950.62,1,095.34,9,041.43,1,813.85
01/03/2017,13,321.00,29,436.96,1,516.24,13,202.24,290.88,11,172.84,3,248.21,6.55,13,283.18,1,329.12,9,984.87,1,969.19
01/02/2017,13,347.00,25,231.96,1,208.63,11,407.35,280.37,9,874.37,2,449.53,11.71,11,359.42,888.34,8,811.45,1,659.63
01/01/2017,13,343.00,26,795.34,1,278.57,12,119.10,280.32,10,035.84,3,071.53,9.98,11,973.77,1,013.35,9,084.78,1,875.64
